ecg,emgz,emg,eda
-0.0021362,-0.010376,-0.015869,1.4902
-0.031738,-0.0073242,-0.029907,1.4902
-0.020142,0.0015259,-0.036621,1.4893
0.0064087,0.0057983,-0.048523,1.4902
0.018921,0.0039673,-0.05249,1.4899
-0.0024414,0.0042725,-0.057983,1.4905
-0.055542,0.0036621,-0.054321,1.4908
-0.1062,-0.0021362,-0.056763,1.4899
-0.11902,-0.0061035,-0.043945,1.4902
-0.082703,-0.0015259,-0.018616,1.4905
-0.019531,-0.010376,-0.0021362,1.4905
0.033569,-0.014038,0.010071,1.4902
0.053711,-0.015564,0.048218,1.4902
0.038452,-0.023804,0.071106,1.4899
0.011597,-0.025635,0.072632,1.4902
-0.0024414,-0.029907,0.061035,1.4893
-0.0042725,-0.032043,0.046082,1.4902
-0.010071,-0.02533,0.038147,1.4902
-0.014648,-0.011597,0.018616,1.4905
-0.012817,-0.007019,0.012512,1.4899
-0.017395,0.007019,-0.0054932,1.4896
-0.035095,0.0097656,-0.024414,1.4899
-0.06012,0.0091553,-0.039368,1.4902
-0.068054,0.010376,-0.048523,1.4899
-0.054932,0.021362,-0.057373,1.4899
-0.036011,0.017395,-0.058594,1.4896
-0.028992,0.010986,-0.056763,1.4899
-0.026855,0.0079346,-0.05127,1.4902
-0.013428,0.0015259,-0.047302,1.4902
0.014954,0.0042725,-0.017395,1.4902
0.052795,0.0067139,0.0073242,1.4902
0.081787,-0.0064087,0.014343,1.4896
0.1004,-0.014343,0.019836,1.4902
0.12146,-0.014343,0.034485,1.4902
0.15839,-0.012512,0.046997,1.4899
0.20721,-0.023804,0.046692,1.4902
0.21606,-0.025635,0.039063,1.4902
0.15961,-0.015564,0.027466,1.4899
0.10406,-0.014954,0.007019,1.4899
0.07782,-0.016174,-0.0057983,1.4899
0.057373,-0.011902,-0.012512,1.4905
0.040283,-0.0027466,-0.019531,1.4893
0.022888,0.00061035,-0.03479,1.4902
0.016785,0.0048828,-0.040588,1.4896
0.022583,-0.0024414,-0.071411,1.4899
0.033875,0.0024414,-0.07019,1.4893
0.052795,-0.00030518,-0.029907,1.4899
0.073547,0.0057983,-0.018921,1.4899
0.088806,0.0045776,-0.010681,1.4902
0.10803,0.0015259,0.0042725,1.4899
0.12939,-0.0048828,0.022583,1.489
0.14526,-0.0057983,0.050049,1.4902
0.14282,-0.018005,0.040588,1.4902
0.13062,-0.02655,0.0354,1.4899
0.14008,-0.019836,0.029297,1.4896
0.17456,-0.02655,0.049133,1.4899
0.22278,-0.029297,0.03479,1.4905
0.25879,-0.020752,0.021667,1.4896
0.25574,-0.015259,0.014038,1.4893
0.20844,-0.014038,-0.0033569,1.4899
0.13885,-0.0094604,-0.0048828,1.4902
0.086975,-0.012817,-0.016479,1.4893
0.08606,-0.0027466,-0.038757,1.4896
0.15289,-0.00030518,-0.046997,1.4902
0.24017,0.0048828,-0.054626,1.4899
0.28137,0.0033569,-0.057983,1.4893
0.26031,0,-0.050049,1.4899
0.21698,0.0036621,-0.043945,1.4896
0.17822,0.0082397,-0.0354,1.4896
0.1651,-0.0015259,-0.015564,1.4896
0.16541,-0.0097656,-0.0067139,1.4905
0.16663,-0.011902,0.0027466,1.4902
0.16571,-0.014038,0.018616,1.4899
0.1535,-0.011292,0.025024,1.4899
0.13245,-0.018005,0.036926,1.4899
0.12939,-0.024719,0.036926,1.4896
0.15045,-0.022888,0.028687,1.4899
0.16724,-0.02533,0.018311,1.4899
0.1474,-0.018616,0.00061035,1.4899
0.097656,-0.015869,-0.011597,1.4899
0.043335,-0.013428,-0.023193,1.489
-0.0027466,-0.0030518,-0.039368,1.4896
-0.024109,0.00091553,-0.058289,1.4896
